,symbol,name,slug,marketcap,sector,category,lowername,yf_ticker,ticker,size
53,MANA-USD,Autonio,autonio-2,2694161616,Misc.,Misc.,autonio,MANA-USD,NIO,20.20023074
54,BAT-USD,yearn.finance,yearn-finance,2581866433,Asset Management,Financial,yearn.finance,BAT-USD,YFI,20.19053878
55,ONT-USD,Decred,decred,2496503959,Currencies,Payments,decred,ONT-USD,DCR,20.18317133
56,STX1-USD,Revain,revain,2460192038,Misc,Services,revain,STX1-USD,R,20.18003732
57,STX1-USD,Chiliz,chiliz,2428069360,Misc,Media and Entertainment,chiliz,STX1-USD,CHZ,20.17726488
58,ENJ-USD,OKB,okb,2141387743,Centralized Exchanges,Financial,okb,ENJ-USD,OKB,20.152522
59,TFUEL-USD,Telcoin,telcoin,2140211271,Payment Platforms,Payments,telcoin,TFUEL-USD,TEL,20.15242047
60,DFI-USD,Zilliqa,zilliqa,2117729683,Smart Contract Platforms,Infrastructure,zilliqa,DFI-USD,ZIL,20.15048013
61,BTG-USD,Synthetix,synthetix,2114301584,Derivatives,Financial,synthetix,BTG-USD,SNX,20.15018426
62,CEL-USD,Ultra Salescloud,ultra-salescloud,2114301584,Misc.,Misc.,ultra salescloud,CEL-USD,UST,20.15018426
63,NANO-USD,Qtum,qtum,2079098575,Smart Contract Platforms,Infrastructure,qtum,NANO-USD,QTUM,20.14714596
64,DGB-USD,Hedera Hashgraph,hedera-hashgraph,2070514391,Smart Contract Platforms,Infrastructure,hedera hashgraph,DGB-USD,HBAR,20.14640508
65,GRT2-USD,SushiSwap,sushiswap,2059935624,Decentralized Exchanges,Financial,sushiswap,GRT2-USD,SUSHI,20.14549205
66,UMA-USD,Nexo,nexo,2026293658,Lending,Financial,nexo,UMA-USD,NEXO,20.14258848
67,ZEN-USD,Decentraland,decentraland,2010035929,Virtual and Augmented Reality,Media and Entertainment,decentraland,ZEN-USD,MANA,20.14118531
68,SC-USD,Fei Protocol,fei-protocol,1967105673,Stablecoins,Financial,fei protocol,SC-USD,FEI,20.13748009
69,BNT-USD,Hydro Protocol,hydro-protocol,10313956.13,Decentralized Exchanges,Financial,hydro protocol,BNT-USD,HOT,19.96859357
70,OMG-USD,Ontology,ontology,1812117250,Smart Contract Platforms,Infrastructure,ontology,OMG-USD,ONT,20.12410337
71,ZRX-USD,Basic Attention Token,basic-attention-token,1811894088,Advertising,Media and Entertainment,basic attention token,ZRX-USD,BAT,20.12408411
72,BCN-USD,Stacks,stacks,1809808122,Smart Contract Platforms,Infrastructure,stacks,BCN-USD,STX,20.12390407
73,ICX-USD,NEAR Protocol,near-protocol,1778358051,Smart Contract Platforms,Infrastructure,near protocol,ICX-USD,NEAR,20.12118969
74,ARRR-USD,Enjin Coin,enjin-coin,1738854665,Gaming,Media and Entertainment,enjin coin,ARRR-USD,ENJ,20.11778023
75,HNT1-USD,Bitcoin Gold,bitcoin-gold,1698211228,Currencies,Payments,bitcoin gold,HNT1-USD,BTG,20.11427238
76,RVN-USD,DeFiChain,defichain,1690965729,Decentralized Exchanges,Financial,defichain,RVN-USD,DFI,20.11364704
77,TUSD-USD,Fantom,fantom,1680110517,Smart Contract Platforms,Infrastructure,fantom,TUSD-USD,FTM,20.11271015
78,ONE2-USD,Theta Fuel,theta-fuel,1676724778,Content Creation and Distribution,Media and Entertainment,theta fuel,ONE2-USD,TFUEL,20.11241793
79,XWC-USD,Celsius Network,celsius,1663345568,Lending,Financial,celsius network,XWC-USD,CEL,20.1112632
80,CELO-USD,Nano,nano,1655127287,Currencies,Payments,nano,CELO-USD,NANO,20.1105539
81,CRV-USD,The Graph,the-graph,1654068134,Data Management,Infrastructure,the graph,CRV-USD,GRT,20.11046249
82,CRV-USD,DigiByte,digibyte,1606440778,Currencies,Payments,digibyte,CRV-USD,DGB,20.10635187
83,ANKR-USD,UMA,uma,1571355164,Derivatives,Financial,uma,ANKR-USD,UMA,20.10332371
84,BCD-USD,Horizen,horizen,1546908674,Smart Contract Platforms,Infrastructure,horizen,BCD-USD,ZEN,20.10121378
85,LSK-USD,Siacoin,siacoin,1477940480,File Storage,Services,siacoin,LSK-USD,SC,20.09526129
86,AR-USD,OMG Network,omg-network,1422039029,Scaling,Infrastructure,omg network,AR-USD,OMG,20.09043655
87,IOST-USD,0x,0x,1278346606,Decentralized Exchanges,Financial,0x,IOST-USD,ZRX,20.07803476
88,XVG-USD,Bancor,bancor,1253361644,Decentralized Exchanges,Financial,bancor,XVG-USD,BNT,20.07587836
89,VGX-USD,ICON,icon,1251628525,Enterprise and BaaS,Infrastructure,icon,VGX-USD,ICX,20.07572878
90,LRC-USD,Ravencoin,ravencoin,1163428782,Currencies,Payments,ravencoin,LRC-USD,RVN,20.06811645
91,CKB-USD,Helium,helium,1152736617,IoT,Infrastructure,helium,CKB-USD,HNT,20.06719363
92,AMP1-USD,Swissborg,swissborg,1097789251,Asset Management,Financial,swissborg,AMP1-USD,CHSB,20.06245124
93,KNC-USD,WhiteCoin,whitecoin,1060296754,Currencies,Payments,whitecoin,KNC-USD,XWC,20.05921535
94,RLC-USD,Harmony,harmony,1058808851,Smart Contract Platforms,Infrastructure,harmony,RLC-USD,ONE,20.05908693
95,SNT-USD,Vsync,vsync,1058808851,Misc.,Misc.,vsync,SNT-USD,XVS,20.05908693
96,MIR1-USD,Curve,curve,1010224342,Decentralized Exchanges,Financial,curve,MIR1-USD,CRV,20.0548937
97,STORJ-USD,Paxos Standard Token,paxos-standard-token,982802368.5,Stablecoins,Payments,paxos standard token,STORJ-USD,PAX,20.05252697
98,VTHO-USD,Ankr Network,ankr-network,964910978.3,Shared Compute,Services,ankr network,VTHO-USD,ANKR,20.0509828
99,QNT-USD,XinFin Network,xinfin-network,938987005.8,Misc.,Misc.,xinfin network,QNT-USD,XDCE,20.04874536
100,EWT-USD,Lisk,lisk,935941119.1,Application Development,Infrastructure,lisk,EWT-USD,LSK,20.04848248
101,SRM-USD,1inch,1inch,935285127.4,Decentralized Exchanges,Financial,1inch,SRM-USD,1INCH,20.04842586
102,IOTX-USD,Reserve Rights,reserve-rights,930643230.5,Asset Management,Financial,reserve rights,IOTX-USD,RSR,20.04802523
103,IOTX-USD,Celo,celo,919357116.2,Smart Contract Platforms,Infrastructure,celo,IOTX-USD,CELO,20.04705115
104,REP-USD,Arweave,arweave,908684638.2,File Storage,Services,arweave,REP-USD,AR,20.04613003
105,GNO-USD,KuCoin,kucoin,906953192,Centralized Exchanges,Financial,kucoin,GNO-USD,KCS,20.04598059
106,KAVA-USD,Bitcoin Diamond,bitcoin-diamond,903487054.6,Currencies,Payments,bitcoin diamond,KAVA-USD,BCD,20.04568143
107,FUN-USD,IOST,iost,846992247.1,Smart Contract Platforms,Infrastructure,iost,FUN-USD,IOST,20.04080549
108,FET-USD,Verge,verge,845929373,Currencies,Payments,verge,FET-USD,XVG,20.04071375
109,WAXP-USD,Content Value Network,content-value-network,844316084.5,Content Creation and Distribution,Media and Entertainment,content value network,WAXP-USD,CVNT,20.04057451
110,ANT-USD,Ren,ren,840614226,Interoperability,Financial,ren,ANT-USD,REN,20.04025501
111,STEEM-USD,Flow,flow,817929376.6,Smart Contract Platforms,Infrastructure,flow,STEEM-USD,FLOW,20.03829713
112,ARDR-USD,Loopring,loopring,780407864.8,Decentralized Exchanges,Financial,loopring,ARDR-USD,LRC,20.03505873
113,ABBC-USD,Ethos,ethos,762393553.2,Wallet,Financial,ethos,ABBC-USD,ETHOS,20.03350395
114,MCO-USD,Livepeer,livepeer,743447418.5,Shared Compute,Infrastructure,livepeer,MCO-USD,LPT,20.03186875
115,KMD-USD,,flexacoin-old,743447418.5,Misc.,Misc.,,KMD-USD,FXC,20.03186875
116,WAN-USD,HUSD,husd,701418547.1,Stablecoins,Currency,husd,WAN-USD,HUSD,20.02824133
117,CVC-USD,ECOMI,ecomi,699076828.8,Misc.,Misc.,ecomi,CVC-USD,OMI,20.02803922
118,NKN-USD,Pundi X,pundi-x,685215625.1,Payment Platforms,Payments,pundi x,NKN-USD,NPXS,20.02684289
119,NKN-USD,Nervos Network,nervos-network,678071182.5,Smart Contract Platforms,Infrastructure,nervos network,NKN-USD,CKB,20.02622627
120,BAND-USD,Conflux Network,conflux-network,659897038.4,Smart Contract Platforms,Infrastructure,conflux network,BAND-USD,CFX,20.0246577
121,MAID-USD,HyperSpace,hyperspace,6709877.256,Misc.,Misc.,hyperspace,MAID-USD,AMP,19.96828251
122,BTS-USD,Dent,dent,624557395.7,Data Management,Services,dent,BTS-USD,DENT,20.02160761
123,BTM-USD,Kyber Network,kyber-network,618087764.1,Decentralized Exchanges,Financial,kyber network,BTM-USD,KNC,20.02104923
124,ETN-USD,iExec RLC,iexec-rlc,594322304.6,Shared Compute,Services,iexec rlc,ETN-USD,RLC,20.01899808
125,XHV-USD,renBTC,renbtc,576738224.8,Currencies,Payments,renbtc,XHV-USD,RENBTC,20.01748044
126,MED-USD,Status,status,546259024.9,Application Development,Infrastructure,status,MED-USD,SNT,20.01484984
127,NU-USD,,ocean,546259024.9,Misc.,Misc.,,NU-USD,OCEAN,20.01484984
128,HNC-USD,Reef Finance,reef-finance,528812565.4,Asset Management,Financial,reef finance,HNC-USD,REEF,20.01334408
129,AVA-USD,MIR COIN,mir-coin,528812565.4,Misc.,Misc.,mir coin,AVA-USD,MIR,20.01334408
130,KIN-USD,Raydium,raydium,498389568.3,Decentralized Exchanges,Financial,raydium,KIN-USD,RAY,20.01071833
131,ARK-USD,Alpha Finance,alpha-finance,496463327.8,Asset Management,Financial,alpha finance,ARK-USD,ALPHA,20.01055208
132,TWT-USD,SKALE Network,skale-network,481951001.5,Scaling,Infrastructure,skale network,TWT-USD,SKL,20.00929956
133,SYS-USD,WazirX,wazirx,481563843.3,Centralized Exchanges,Financial,wazirx,SYS-USD,WRX,20.00926614
134,MTL-USD,Quant Network,quant-network,467642807.4,Interoperability,Infrastructure,quant network,MTL-USD,QNT,20.00806465
135,MTL-USD,VeThor Token,vethor-token,463731401.3,Smart Contract Platforms,Infrastructure,vethor token,MTL-USD,VTHO,20.00772706
136,REV-USD,Storj,storj,451339140.6,File Storage,Services,storj,REV-USD,STORJ,20.00665751
137,DIVI-USD,Wootrade Network,wootrade-network,444081096.9,Decentralized Exchanges,Financial,wootrade network,DIVI-USD,WOO,20.00603108
138,OXT-USD,Serum,serum,443651469.4,Decentralized Exchanges,Financial,serum,OXT-USD,SRM,20.005994
139,RDD-USD,Balancer,balancer,443328283.1,Decentralized Exchanges,Financial,balancer,RDD-USD,BAL,20.00596611
140,MLN-USD,Energy Web,energy-web,438293998.7,Energy,Infrastructure,energy web,MLN-USD,EWT,20.00553161
141,PPT-USD,Injective Protocol,injective-protocol,425492397.8,Derivatives,Financial,injective protocol,PPT-USD,INJ,20.00442673
142,AION-USD,HedgeTrade,hedgetrade,420370904.4,Misc.,Misc.,hedgetrade,AION-USD,HEDG,20.00398471
143,FIRO-USD,IoTeX,iotex,418130878.1,IoT,Services,iotex,FIRO-USD,IOTX,20.00379138
144,HIVE-USD,Augur,augur,411830272.8,Prediction Markets,Financial,augur,HIVE-USD,REP,20.00324758
145,META-USD,Tribe,tribe,397677370.3,Stablecoins,Financial,tribe,META-USD,TRIBE,20.00202608
146,META-USD,Golem,golem,396736094.4,Shared Compute,Services,golem,META-USD,GNT,20.00194484
147,HNS-USD,Mixin,mixin,394007891,Decentralized Exchanges,Financial,mixin,HNS-USD,XIN,20.00170937
148,TOMO-USD,Gnosis,gnosis,392776365.5,Prediction Markets,Financial,gnosis,TOMO-USD,GNO,20.00160308
149,TOMO-USD,Axie Infinity,axie-infinity,390884098.6,Gaming,Media and Entertainment,axie infinity,TOMO-USD,AXS,20.00143977
150,SNM-USD,Kava,kava,374202361.2,Lending,Financial,kava,SNM-USD,KAVA,20
151,PAC-USD,OGNCoin,ogncoin,374202361.2,Misc.,Misc.,ogncoin,PAC-USD,OGN,20
152,BCN-USD,FunFair,funfair,359805338.2,Gambling,Media and Entertainment,funfair,BCN-USD,FUN,19.99875742
153,DNT-USD,Swipe,swipe,359622064.7,Payment Platforms,Financial,swipe,DNT-USD,SXP,19.99874161
154,IRIS-USD,Tokocrypto,tokocrypto,352591081.6,Misc.,Misc.,tokocrypto,IRIS-USD,TKO,19.99813478
155,MONA-USD,Fetch.ai,fetch-ai,348928152.8,AI,Infrastructure,fetch.ai,MONA-USD,FET,19.99781864
156,ELA-USD,StormX,storm,336374243.8,Rewards,Payments,stormx,ELA-USD,STMX,19.99673514
157,KDA-USD,Steem,steem,333777788.5,Content Creation and Distribution,Media and Entertainment,steem,KDA-USD,STEEM,19.99651104
158,KDA-USD,ABBC Coin,abbc-coin,333105493.8,Payment Platforms,Payments,abbc coin,KDA-USD,ABBC,19.99645302
159,ATRI-USD,Aragon Network,aragon-network,332864097.3,Misc,Infrastructure,aragon network,ATRI-USD,ANT,19.99643218
160,ATRI-USD,DODO,dodo,325922885.5,Decentralized Exchanges,Financial,dodo,ATRI-USD,DODO,19.9958331
162,ADX-USD,WAX,wax,320957123.1,Collectibles,Media and Entertainment,wax,ADX-USD,WAXP,19.99540452
163,WTC-USD,Komodo,komodo,319611075.8,Interoperability,Infrastructure,komodo,WTC-USD,KMD,19.99528834
164,GAS-USD,Wanchain,wanchain,317655515.2,Interoperability,Infrastructure,wanchain,GAS-USD,WAN,19.99511956
165,CRU-USD,Crypto.com,crypto-com,315501809.8,Payment Platforms,Payments,crypto.com,CRU-USD,MCO,19.99493368
166,CSC-USD,Civic,civic,314392807,Identity,Services,civic,CSC-USD,CVC,19.99483796
167,VRA-USD,ZKS,zks,312418840.1,Decentralized Exchanges,Financial,zks,VRA-USD,ZKS,19.9946676
168,NRG-USD,Dawn,dawn,311550394.8,Rewards,Media and Entertainment,dawn,NRG-USD,DAWN,19.99459264
169,BEAM-USD,Bitcoin Minor,bitcoin-minor,311550394.8,Misc.,Misc.,bitcoin minor,BEAM-USD,BTM,19.99459264
170,AE-USD,NKN,nkn,309722468,IoT,Infrastructure,nkn,AE-USD,NKN,19.99443488
171,AE-USD,Band Protocol,band-protocol,308389272.3,Data Management,Infrastructure,band protocol,AE-USD,BAND,19.99431981
173,NULS-USD,RedFOX Labs,redfox-labs,304315739.2,Tokenization,Media and Entertainment,redfox labs,NULS-USD,RFOX,19.99396823
174,DAG-USD,Maidsafe,maidsafe,303935269.8,Data Management,Services,maidsafe,DAG-USD,MAID,19.9939354
175,TT-USD,The Sandbox,thesandbox,302959498.3,Gaming,Media and Entertainment,the sandbox,TT-USD,SAND,19.99385118
176,NXS-USD,TrueUSD,trueusd,299554469.9,Stablecoins,Payments,trueusd,NXS-USD,TUSD,19.9935573
177,MWC-USD,BitShares,bitshares,299179899.4,Smart Contract Platforms,Financial,bitshares,MWC-USD,BTS,19.99352497
178,GRS-USD,Electroneum,electroneum,292250517.5,Payment Platforms,Payments,electroneum,GRS-USD,ETN,19.99292691
179,GRS-USD,Cartesi,cartesi,288299514.7,Smart Contract Platforms,Infrastructure,cartesi,GRS-USD,CTSI,19.99258591
180,FSN-USD,LINA,lina,288299514.7,Misc.,Misc.,lina,FSN-USD,LINA,19.99258591
181,PIVX-USD,Haven Protocol,haven-protocol,285383973.9,Misc.,Misc.,haven protocol,PIVX-USD,XHV,19.99233427
182,CTXC-USD,Numeraire,numeraire,279844519.7,Asset Management,Financial,numeraire,CTXC-USD,NMR,19.99185618
183,CTXC-USD,MediBloc,medibloc-qrc20,278799931.1,Misc.,Misc.,medibloc,CTXC-USD,MED,19.99176602
184,GRN-USD,Dimecoin,dimecoin,276904492.5,Misc.,Misc.,dimecoin,GRN-USD,DIME,19.99160243
185,CET-USD,UTRUST,utrust,272870614.4,Payment Platforms,Payments,utrust,CET-USD,UTK,19.99125427
186,CET-USD,Badger DAO,badger-dao,267085556,Decentralized Exchanges,Financial,badger dao,CET-USD,BADGER,19.99075498
187,HC-USD,Swisscoin,swisscoin,262626937.7,Misc.,Misc.,swisscoin,HC-USD,SIC,19.99037016
188,GXC-USD,NuCypher,nucypher,260983100.9,Data Management,Infrastructure,nucypher,GXC-USD,NU,19.99022829
189,GXC-USD,Keep Network,keep-network,259384899.2,Interoperability,Infrastructure,keep network,GXC-USD,KEEP,19.99009035
190,VITE-USD,Uquid Coin,uquid-coin,259367894.6,Misc.,Misc.,uquid coin,VITE-USD,UQC,19.99008888
191,WICC-USD,SingularityNET,singularitynet,258836739.5,AI,Services,singularitynet,WICC-USD,AGI,19.99004304
192,EMC2-USD,JUST,just,247850663.6,Decentralized Exchanges,Financial,just,EMC2-USD,JST,19.98909485
193,RBTC-USD,Travala.com,travala-com,247783123.8,Payment Platforms,Payments,travala.com,RBTC-USD,AVA,19.98908902
194,LOKI-USD,Orbs,orbs,242136068.6,Enterprise and BaaS,Infrastructure,orbs,LOKI-USD,ORBS,19.98860164
195,SOLVE-USD,TrustSwap,trustswap,240215075.9,Misc.,Misc.,trustswap,SOLVE-USD,SWAP,19.98843584
196,SOLVE-USD,Celer Network,celer-network,238985910.7,Scaling,Infrastructure,celer network,SOLVE-USD,CELR,19.98832976
197,VSYS-USD,ZB,zb,236277295.2,Centralized Exchanges,Financial,zb,VSYS-USD,ZB,19.98809598
198,LBC-USD,Rocket Pool,rocket-pool,231908716.3,Derivatives,Financial,rocket pool,LBC-USD,RPL,19.98771894
199,LBC-USD,Ark,ark,231188989.4,Interoperability,Infrastructure,ark,LBC-USD,ARK,19.98765682
200,DGD-USD,Syscoin,syscoin,226525479.7,Scaling,Infrastructure,syscoin,DGD-USD,SYS,19.98725432
201,DGD-USD,Metal,metal,225020722.1,Payment Platforms,Payments,metal,DGD-USD,MTL,19.98712445
202,IOTX-USD,Trust Wallet Token,trust-wallet-token,224920000.4,Misc.,Misc.,trust wallet token,IOTX-USD,TWT,19.98711576
203,IOTX-USD,Kin,kin,223828479.6,Social Media,Media and Entertainment,kin,IOTX-USD,KIN,19.98702155
204,REP-USD,Audius,audius,221013603.7,Content Creation and Distribution,Media and Entertainment,audius,REP-USD,AUDIO,19.9867786
205,GNO-USD,Unibright,unibright-1,220192566.3,Misc.,Misc.,unibright,GNO-USD,UBT,19.98670774
206,KAVA-USD,ReddCoin,reddcoin,215254843.2,Currencies,Payments,reddcoin,KAVA-USD,RDD,19.98628158
207,FUN-USD,SafePal,safepal,214950205.3,Wallet,Infrastructure,safepal,FUN-USD,SFP,19.98625529
208,WAXP-USD,Ontology Gas,ontology-gas,212487911,Smart Contract Platforms,Infrastructure,ontology gas,WAXP-USD,ONG,19.98604277
209,FET-USD,Neutrino Dollar,neutrino-dollar,212283786.1,Stablecoins,Payments,neutrino dollar,FET-USD,USDN,19.98602515
210,ANT-USD,Polymath,polymath,208229799.1,Asset Management,Financial,polymath,ANT-USD,POLY,19.98567526
211,STEEM-USD,Diamond,diamond,205266793.9,Misc.,Misc.,diamond,STEEM-USD,DMD,19.98541953
212,ARDR-USD,Orchid,orchid,203474479.6,Data Management,Services,orchid,ARDR-USD,OXT,19.98526484
213,ABBC-USD,ælf,aelf,203473304.2,Shared Compute,Services,ælf,ABBC-USD,ELF,19.98526474
214,MCO-USD,Ampleforth,ampleforth,200588880.3,Currencies,Payments,ampleforth,MCO-USD,AMPL,19.98501579
215,KMD-USD,Enzyme Finance,enzyme-finance,200586900.2,Asset Management,Financial,enzyme finance,KMD-USD,MLN,19.98501562
216,WAN-USD,The Open Application Network,the-open-application-network,198793637.7,Smart Contract Platforms,Infrastructure,the open application network,WAN-USD,AION,19.98486085
217,CVC-USD,SecretCoin,secretcoin,198793637.7,Misc.,Misc.,secretcoin,CVC-USD,SCRT,19.98486085
218,NKN-USD,RIF Token,rif-token,194900301.1,Application Development,Infrastructure,rif token,NKN-USD,RIF,19.98452482
219,BAND-USD,Sora,sora,193590337.8,Smart Contract Platforms,Infrastructure,sora,BAND-USD,XOR,19.98441176
220,BAND-USD,Populous,populous,192523593.9,Payment Platforms,Financial,populous,BAND-USD,PPT,19.98431969
221,MAID-USD,Firo,firo,192390077.2,Currencies,Payments,firo,MAID-USD,FIRO,19.98430817
222,BTS-USD,Wrapped Nexus Mutual,wrapped-nexus-mutual,191381554.4,Misc,Financial,wrapped nexus mutual,BTS-USD,WNXM,19.98422113
223,BTM-USD,Origintrail,origintrail,190200343.3,Data Management,Services,origintrail,BTM-USD,TRAC,19.98411918
224,ETN-USD,Alice,alice,188434572.6,Gaming,Media and Entertainment,alice,ETN-USD,ALICE,19.98396678
225,XHV-USD,Power Ledger,power-ledger,188245502.1,Energy,Services,power ledger,XHV-USD,POWR,19.98395046
226,MED-USD,Polkastarter,polkastarter,187189180.3,Crowdfunding,Financial,polkastarter,MED-USD,POLS,19.98385929
227,NU-USD,Oasis Network,oasis-labs,184586283.2,Smart Contract Platforms,Infrastructure,oasis network,NU-USD,ROSE,19.98363464
228,HNC-USD,Hive,hive,184357089.3,Content Creation and Distribution,Media and Entertainment,hive,HNC-USD,HIVE,19.98361486
229,AVA-USD,TomoChain,tomochain,178662491.3,Smart Contract Platforms,Infrastructure,tomochain,AVA-USD,TOMO,19.98312337
230,KIN-USD,Kleros,kleros-1,177850793.2,Misc.,Misc.,kleros,KIN-USD,PNK,19.98305331
231,ARK-USD,Atari,atari,176861489.4,Misc.,Misc.,atari,ARK-USD,ATRI,19.98296793
232,BCN-USD,SuperCoin,supercoin,91876624.86,Misc.,Misc.,supercoin,BCN-USD,SUPER,19.97563307
